L/W,H/P,Wi/Wo,P/Wu,CPK obs
5.08490566037736,0.79911,1,0.844339622641509,1.1627374
5.08490566037736,0.90575,1,0.844339622641509,1.096755
4.61437908496732,0.17467,1,0.725490196078431,2.257035
4.61437908496732,0.24604,1,0.725490196078431,2.011665
4.61437908496732,0.31985,1,0.725490196078431,1.807485
4.61437908496732,0.39301,1,0.725490196078431,1.64898
4.61437908496732,0.45983,1,0.725490196078431,1.532235
4.61437908496732,0.54291,1,0.725490196078431,1.409835
4.61437908496732,0.62387,1,0.725490196078431,1.31676
4.61437908496732,0.69443,1,0.725490196078431,1.25697
4.61437908496732,0.71931,1,0.725490196078431,1.24062
4.3,0.17362,1.25,0.666666666666667,2.29496
4.3,0.17773,1.25,0.666666666666667,2.22554
4.3,0.18025,1.25,0.666666666666667,2.18017
4.3,0.18501,1.25,0.666666666666667,2.14737
4.3,0.21045,1.25,0.666666666666667,2.12004
4.3,0.2127,1.25,0.666666666666667,2.09271
4.3,0.2392,1.25,0.666666666666667,2.06046
4.3,0.24701,1.25,0.666666666666667,1.96972
4.3,0.24966,1.25,0.666666666666667,1.95715
4.3,0.28251,1.25,0.666666666666667,1.85711
4.3,0.28689,1.25,0.666666666666667,1.82213
4.3,0.30901,1.25,0.666666666666667,1.82213
4.3,0.31391,1.25,0.666666666666667,1.79261
4.3,0.32623,1.25,0.666666666666667,1.73412
4.3,0.32888,1.25,0.666666666666667,1.69914
4.3,0.35007,1.25,0.666666666666667,1.69312
4.3,0.35259,1.25,0.666666666666667,1.67618
4.3,0.35683,1.25,0.666666666666667,1.65267
4.3,0.38439,1.25,0.666666666666667,1.61823
4.3,0.41936,1.25,0.666666666666667,1.55154
4.3,0.45036,1.25,0.666666666666667,1.50891
4.3,0.4587,1.25,0.666666666666667,1.47119
4.3,0.48957,1.25,0.666666666666667,1.43511
4.3,0.49208,1.25,0.666666666666667,1.42418
4.3,0.51739,1.25,0.666666666666667,1.40887
4.3,0.52454,1.25,0.666666666666667,1.38318
4.3,0.53673,1.25,0.666666666666667,1.38537
4.3,0.51672,1.25,0.666666666666667,1.37608
4.3,0.54825,1.25,0.666666666666667,1.36788
4.8974358974359,0.197046952825005,1,0.807692307692308,2.11824035570778
4.8974358974359,0.209262330677984,1,0.807692307692308,2.06346722694881
4.8974358974359,0.220567279208707,1,0.807692307692308,2.02513225286325
4.8974358974359,0.237802071641105,1,0.807692307692308,1.94105721295755
4.8974358974359,0.253306424755072,1,0.807692307692308,1.89571860830268
4.8974358974359,0.268245388349106,1,0.807692307692308,1.8093852092638
4.8974358974359,0.280866512516436,1,0.807692307692308,1.78996178063137
4.8974358974359,0.299076240916644,1,0.807692307692308,1.71637830731854
4.8974358974359,0.305924268515603,1,0.807692307692308,1.67717003191983
4.8974358974359,0.318392393215332,1,0.807692307692308,1.65065117323764
4.8974358974359,0.331013100200812,1,0.807692307692308,1.63085747089828
4.8974358974359,0.347209341273679,1,0.807692307692308,1.57796231126816
4.8974358974359,0.365740639539674,1,0.807692307692308,1.53456402555704
4.8974358974359,0.383852010320752,1,0.807692307692308,1.47982969862241
4.8974358974359,0.417298206811476,1,0.807692307692308,1.42860663867084
4.8974358974359,0.433553385505239,1,0.807692307692308,1.39193175145469
4.8974358974359,0.448688466028511,1,0.807692307692308,1.3832380521299
4.8974358974359,0.475536699641429,1,0.807692307692308,1.36115302411298
4.8974358974359,0.496684808509143,1,0.807692307692308,1.33639349010579
4.8974358974359,0.522944155661397,1,0.807692307692308,1.28492321391106
4.8974358974359,0.538978437563542,1,0.807692307692308,1.25381186654326
4.8974358974359,0.569864807858033,1,0.807692307692308,1.24403865662144
4.8974358974359,0.597855817107854,1,0.807692307692308,1.23775338087492
4.8974358974359,0.619289315261356,1,0.807692307692308,1.22013740798358
4.8974358974359,0.643646742582299,1,0.807692307692308,1.17328239183184
4.8974358974359,0.656325774399566,1,0.807692307692308,1.16248712396988
4.8974358974359,0.681238616785582,1,0.807692307692308,1.14832504097672
4.8974358974359,0.70444197542175,1,0.807692307692308,1.14946705635392
4.9039039039039,0.27139,1.25384615384615,0.651651651651652,2.0327958
4.9039039039039,0.39745,1.25384615384615,0.651651651651652,1.6899309
4.9039039039039,0.67834,1.25384615384615,0.651651651651652,1.2945366
4.9039039039039,0.79158,1.25384615384615,0.651651651651652,1.1953242
4.9039039039039,0.8785,1.25384615384615,0.651651651651652,1.1267487
4.9039039039039,0.97272,1.25384615384615,0.651651651651652,1.062558
5,0.210069330002767,1.24929709465792,0.5,2.3875584770036
5,0.272972927720686,1.24929709465792,0.5,2.14910365498001
5,0.341687911905067,1.24929709465792,0.5,1.91823724975632
5,0.414199285392963,1.24929709465792,0.5,1.72470161677421
5,0.560367742102165,1.24929709465792,0.5,1.46135939052309
5,0.712092323949993,1.24929709465792,0.5,1.27518231663397
5,1.01245075800848,1.24929709465792,0.5,1.05303767375948
5,1.29398750130429,1.24929709465792,0.5,0.93703134936303
5,1.55844011871383,1.24929709465792,0.5,0.866491365458945
4.03,0.16022,1,1.3125,1.76412
4.03,0.16626,1,1.3125,1.78629
4.03,0.17386,1,1.3125,1.759425
4.03,0.18126,1,1.3125,1.687335
4.03,0.18885,1,1.3125,1.682655
4.03,0.19878,1,1.3125,1.69374
4.03,0.20414,1,1.3125,1.64127
4.03,0.20599,1,1.3125,1.620375
4.03,0.21505,1,1.3125,1.620375
4.03,0.23063,1,1.3125,1.594785
4.03,0.24241,1,1.3125,1.55256
4.03,0.24962,1,1.3125,1.52397
4.03,0.26471,1,1.3125,1.51374
4.03,0.28565,1,1.3125,1.46256
4.03,0.30629,1,1.3125,1.41948
4.03,0.3097,1,1.3125,1.42119
4.03,0.32742,1,1.3125,1.381935
4.03,0.33687,1,1.3125,1.367445
4.03,0.34914,1,1.3125,1.34142
4.03,0.35459,1,1.3125,1.313265
4.03,0.37114,1,1.3125,1.29408
4.03,0.38838,1,1.3125,1.28469
4.03,0.40318,1,1.3125,1.265925
4.03,0.42275,1,1.3125,1.23735
4.03,0.44155,1,1.3125,1.21218
4.03,0.44719,1,1.3125,1.20408
4.03,0.46073,1,1.3125,1.18488
4.03,0.48507,1,1.3125,1.161855
4.03,0.48936,1,1.3125,1.1418
