L/W,H/P,Wi/Wo,P/Wu,CPK obs,Predicted_CPK
5.08490566037736,0.74353,1.0,0.844339622641509,1.2051402,1.1922501799433964
5.08490566037736,0.79911,1.0,0.844339622641509,1.1627374,1.1116202739433965
5.08490566037736,0.90575,1.0,0.844339622641509,1.096755,0.9569176259433967
4.61437908496732,0.17467,1.0,0.725490196078431,2.257035,1.9604134205424832
4.61437908496732,0.24604,1.0,0.725490196078431,2.011665,1.8568769615424834
4.61437908496732,0.31985,1.0,0.725490196078431,1.807485,1.7498007945424832
4.61437908496732,0.39301,1.0,0.725490196078431,1.64898,1.6436675825424831
4.61437908496732,0.45983,1.0,0.725490196078431,1.532235,1.5467318085424833
4.61437908496732,0.54291,1.0,0.725490196078431,1.409835,1.4262076525424832
4.61437908496732,0.62387,1.0,0.725490196078431,1.31676,1.308758980542483
4.61437908496732,0.69443,1.0,0.725490196078431,1.25697,1.2063975885424834
